Name,Position,HS,City,State,Height,Inches,Weight,CompRating,Offerer,Year,NatRank,PosRank,StRank,Stars,CommittedTo,15,Place,lon,lat
Jamarrien Burt,ATH,Forest,Ocala,FL,6,1,175,0.8817,Florida,2022,472,28,61,3,Oklahoma,//247sports.com/player/jamarrien-burt-46082116,"Forest, Ocala, FL",-81.79146999999999,29.1669226
Justius Lowe,ATH,Lake Oswego,Lake Oswego,OR,6,1,182,0.881,Florida,2022,492,30,3,3,Oregon,//247sports.com/player/justius-lowe-46100798,"Lake Oswego, Lake Oswego, OR",-122.698155,45.4091566
Arlis Boardingham,ATH,Birmingham,Van Nuys,CA,6,4,220,0.881,Florida,2022,494,31,35,3,Florida,//247sports.com/player/arlis-boardingham-46081164,"Birmingham, Van Nuys, CA",-118.5045983,34.1887959
Terian Williams II,ATH,Johns Creek,Alpharetta,GA,5,9,175,0.8622,Florida,2022,871,56,89,3,Stanford,//247sports.com/player/terian-williams-ii-46059506,"Johns Creek, Alpharetta, GA",-84.3121391,34.0484135
Miguel Mitchell,ATH,Oxford,Oxford,AL,6,1,205,0.8588,Florida,2022,946,66,37,3,Florida,//247sports.com/player/miguel-mitchell-46114249,"Oxford, Oxford, AL",-85.8349648,33.6142714
Alex McPherson,K,Fort Payne,Fort Payne,AL,5,10,155,0.8338,Florida,2022,NA,1,65,3,Auburn,//247sports.com/player/alex-mcpherson-46093880,"Fort Payne, Fort Payne, AL",-85.7196893,34.4442547
Trey Smack,K,Severna Park,Severna Park,MD,6,2,200,0.8189,Florida,2022,NA,10,37,3,Florida,//247sports.com/player/trey-smack-46117657,"Severna Park, Severna Park, MD",-76.5452409,39.070388
Cade Klubnik,QB,Westlake,Austin,TX,6,2.5,186,0.9951,Florida,2022,6,1,1,5,Clemson,//247sports.com/player/cade-klubnik-46056879,"Westlake, Austin, TX",-97.7951987,30.30457
Conner Weigman,QB,Bridgeland,Cypress,TX,6,2,208,0.9899,Florida,2022,22,2,5,5,Texas A&M,//247sports.com/player/conner-weigman-46094199,"Bridgeland, Cypress, TX",-95.7326149,29.9565313
Ty Simpson,QB,Westview,Martin,TN,6,2,200,0.9883,Florida,2022,26,3,2,5,Alabama,//247sports.com/player/ty-simpson-46056473,"Westview, Martin, TN",-88.8462746,36.3023166
Gunner Stockton,QB,Rabun County,Tiger,GA,6,1,220,0.9506,Florida,2022,124,7,12,4,Georgia,//247sports.com/player/gunner-stockton-46059056,"Rabun County, Tiger, GA",-83.4329398,34.8470372
Sam Horn,QB,Collins Hill,Suwanee,GA,6,4,190,0.9429,Florida,2022,139,8,14,4,Missouri,//247sports.com/player/sam-horn-46098974,"Collins Hill, Suwanee, GA",-84.0225993,34.0340302
Nick Evers,QB,Flower Mound,Flower Mound,TX,6,3,188,0.9313,Florida,2022,171,9,27,4,Oklahoma,//247sports.com/player/nick-evers-46097634,"Flower Mound, Flower Mound, TX",-97.0969552,33.0145673
Maalik Murphy,QB,Junipero Serra,Gardena,CA,6,4.5,225,0.9293,Florida,2022,177,12,13,4,Texas,//247sports.com/player/maalik-murphy-46079369,"Junipero Serra, Gardena, CA",-118.3166277,33.8964745
